method,acc_mean,acc_std,acc_count,f1_mean,f1_std,f1_count,auc_mean,auc_std,auc_count,pd_at_pfa_0.05_mean,pd_at_pfa_0.05_std,pd_at_pfa_0.05_count,pd_at_pfa_0.01_mean,pd_at_pfa_0.01_std,pd_at_pfa_0.01_count,pd_tc_mean,pd_tc_std,pd_tc_count,pfa_tc_mean,pfa_tc_std,pfa_tc_count
CE-LinearHead,0.6409208333333338,0.10407873379204087,240,0.6365254184886975,0.10835632729634226,240,0.6893532249999997,0.13560437760913505,240,0.25591666666666674,0.1951976397129634,240,0.13774999999999984,0.14031168233912966,240,,,0,,,0
CE-Proto,0.5521041666666672,0.054270837767060716,240,0.5579300418201486,0.07641295752940039,240,0.5924700833333332,0.08246730425034747,240,0.12104166666666663,0.08850349456101644,240,0.05067499999999999,0.060613552277236395,240,,,0,,,0
CosMetricHead,0.6414499999999994,0.10446899802389768,240,0.627250014264733,0.11992138560246263,240,0.6880665333333332,0.1322572671810186,240,0.22985833333333333,0.16080674208025555,240,0.1036416666666667,0.10253451675859067,240,,,0,,,0
RegMahaProxy-TC,0.6413625000000001,0.10019344182389815,240,0.6438288780318243,0.12187282583139,240,0.71113565,0.1315065745144695,240,0.27094999999999997,0.1969188542177806,240,0.13649999999999998,0.14039782091312825,240,0.6778249999999999,0.1910605136454863,240,0.3950999999999997,0.2057091988147041,240
