task,k_shot,seed,repeat,baseline,final_method,metric,baseline_value,final_value,delta
open+speedboat->uuv,5,2027,5,CE-Proto,RegMahaProxy-TC,auc,0.770472,0.784164,0.013691999999999926
open+speedboat->uuv,5,2027,6,CE-Proto,RegMahaProxy-TC,auc,0.513856,0.760144,0.24628800000000006
open+speedboat->uuv,5,2027,7,CE-Proto,RegMahaProxy-TC,auc,0.660284,0.7574559999999999,0.09717199999999993
open+speedboat->uuv,5,2027,8,CE-Proto,RegMahaProxy-TC,auc,0.428468,0.6811179999999999,0.2526499999999999
open+speedboat->uuv,5,2027,9,CE-Proto,RegMahaProxy-TC,auc,0.508876,0.703804,0.194928
open+speedboat->uuv,10,2027,0,CE-Proto,RegMahaProxy-TC,auc,0.6022320000000001,0.741608,0.13937599999999994
open+speedboat->uuv,10,2027,1,CE-Proto,RegMahaProxy-TC,auc,0.599992,0.7468800000000001,0.14688800000000013
open+speedboat->uuv,10,2027,2,CE-Proto,RegMahaProxy-TC,auc,0.616724,0.769792,0.15306799999999998
open+speedboat->uuv,10,2027,3,CE-Proto,RegMahaProxy-TC,auc,0.5815199999999999,0.8042379999999999,0.22271799999999997
open+speedboat->uuv,10,2027,4,CE-Proto,RegMahaProxy-TC,auc,0.743992,0.758702,0.01471
open+speedboat->uuv,10,2027,5,CE-Proto,RegMahaProxy-TC,auc,0.64872,0.654388,0.005668000000000006
open+speedboat->uuv,10,2027,6,CE-Proto,RegMahaProxy-TC,auc,0.459476,0.8190919999999999,0.35961599999999994
open+speedboat->uuv,10,2027,7,CE-Proto,RegMahaProxy-TC,auc,0.532778,0.822624,0.28984600000000005
open+speedboat->uuv,10,2027,8,CE-Proto,RegMahaProxy-TC,auc,0.612608,0.8327800000000001,0.22017200000000003
open+speedboat->uuv,10,2027,9,CE-Proto,RegMahaProxy-TC,auc,0.599412,0.7679279999999999,0.168516
open+speedboat->uuv,20,2027,0,CE-Proto,RegMahaProxy-TC,auc,0.645724,0.8176519999999998,0.17192799999999986
open+speedboat->uuv,20,2027,1,CE-Proto,RegMahaProxy-TC,auc,0.7221839999999999,0.8358760000000001,0.11369200000000013
open+speedboat->uuv,20,2027,2,CE-Proto,RegMahaProxy-TC,auc,0.6145120000000001,0.8543999999999999,0.23988799999999988
open+speedboat->uuv,20,2027,3,CE-Proto,RegMahaProxy-TC,auc,0.59094,0.8346039999999999,0.24366399999999988
open+speedboat->uuv,20,2027,4,CE-Proto,RegMahaProxy-TC,auc,0.5831959999999999,0.820256,0.23706000000000005
open+speedboat->uuv,20,2027,5,CE-Proto,RegMahaProxy-TC,auc,0.6963239999999999,0.8753519999999999,0.17902799999999996
open+speedboat->uuv,20,2027,6,CE-Proto,RegMahaProxy-TC,auc,0.622644,0.806608,0.18396400000000002
open+speedboat->uuv,20,2027,7,CE-Proto,RegMahaProxy-TC,auc,0.663964,0.841252,0.177288
open+speedboat->uuv,20,2027,8,CE-Proto,RegMahaProxy-TC,auc,0.5964720000000001,0.84536,0.2488879999999999
open+speedboat->uuv,20,2027,9,CE-Proto,RegMahaProxy-TC,auc,0.607966,0.81406,0.206094
open+speedboat->uuv,50,2027,0,CE-Proto,RegMahaProxy-TC,auc,0.64388,0.8966639999999999,0.2527839999999999
open+speedboat->uuv,50,2027,1,CE-Proto,RegMahaProxy-TC,auc,0.649576,0.877784,0.22820799999999997
open+speedboat->uuv,50,2027,2,CE-Proto,RegMahaProxy-TC,auc,0.5933439999999999,0.872328,0.2789840000000001
open+speedboat->uuv,50,2027,3,CE-Proto,RegMahaProxy-TC,auc,0.652908,0.8982479999999999,0.2453399999999999
open+speedboat->uuv,50,2027,4,CE-Proto,RegMahaProxy-TC,auc,0.620252,0.8777159999999999,0.2574639999999999
open+speedboat->uuv,50,2027,5,CE-Proto,RegMahaProxy-TC,auc,0.6995640000000001,0.9193520000000001,0.21978799999999998
open+speedboat->uuv,50,2027,6,CE-Proto,RegMahaProxy-TC,auc,0.6182799999999999,0.8738119999999999,0.255532
open+speedboat->uuv,50,2027,7,CE-Proto,RegMahaProxy-TC,auc,0.620012,0.8982399999999999,0.2782279999999999
open+speedboat->uuv,50,2027,8,CE-Proto,RegMahaProxy-TC,auc,0.68174,0.906052,0.22431199999999996
open+speedboat->uuv,50,2027,9,CE-Proto,RegMahaProxy-TC,auc,0.608564,0.885916,0.27735200000000004
open+speedboat->uuv,5,2028,0,CE-Proto,RegMahaProxy-TC,auc,0.553092,0.6303759999999999,0.07728399999999991
open+speedboat->uuv,5,2028,1,CE-Proto,RegMahaProxy-TC,auc,0.670944,0.799388,0.128444
open+speedboat->uuv,5,2028,2,CE-Proto,RegMahaProxy-TC,auc,0.599748,0.74084,0.1410920000000001
open+speedboat->uuv,5,2028,3,CE-Proto,RegMahaProxy-TC,auc,0.550792,0.751796,0.20100400000000007
open+speedboat->uuv,5,2028,4,CE-Proto,RegMahaProxy-TC,auc,0.574652,0.742328,0.16767599999999994
open+speedboat->uuv,5,2028,5,CE-Proto,RegMahaProxy-TC,auc,0.5758,0.8253499999999999,0.24954999999999994
open+speedboat->uuv,5,2028,6,CE-Proto,RegMahaProxy-TC,auc,0.62862,0.7947480000000001,0.16612800000000016
open+speedboat->uuv,5,2028,7,CE-Proto,RegMahaProxy-TC,auc,0.567328,0.568932,0.0016039999999999388
open+speedboat->uuv,5,2028,8,CE-Proto,RegMahaProxy-TC,auc,0.6100200000000001,0.6825680000000001,0.07254799999999995
open+speedboat->uuv,5,2028,9,CE-Proto,RegMahaProxy-TC,auc,0.6627799999999999,0.7825880000000001,0.11980800000000014
open+speedboat->uuv,10,2028,0,CE-Proto,RegMahaProxy-TC,auc,0.609848,0.8131079999999999,0.20326
open+speedboat->uuv,10,2028,1,CE-Proto,RegMahaProxy-TC,auc,0.620304,0.7852100000000001,0.1649060000000001
open+speedboat->uuv,10,2028,2,CE-Proto,RegMahaProxy-TC,auc,0.531804,0.75922,0.22741599999999995
open+speedboat->uuv,10,2028,3,CE-Proto,RegMahaProxy-TC,auc,0.6116280000000001,0.778856,0.16722799999999993
open+speedboat->uuv,10,2028,4,CE-Proto,RegMahaProxy-TC,auc,0.73936,0.758128,0.018768000000000007
open+speedboat->uuv,10,2028,5,CE-Proto,RegMahaProxy-TC,auc,0.661956,0.797464,0.13550799999999996
open+speedboat->uuv,10,2028,6,CE-Proto,RegMahaProxy-TC,auc,0.6167959999999999,0.7672939999999999,0.15049800000000002
open+speedboat->uuv,10,2028,7,CE-Proto,RegMahaProxy-TC,auc,0.586156,0.875544,0.289388
open+speedboat->uuv,10,2028,8,CE-Proto,RegMahaProxy-TC,auc,0.658496,0.824232,0.165736
open+speedboat->uuv,10,2028,9,CE-Proto,RegMahaProxy-TC,auc,0.610128,0.7611,0.150972
open+speedboat->uuv,20,2028,0,CE-Proto,RegMahaProxy-TC,auc,0.5984119999999999,0.850892,0.25248000000000004
open+speedboat->uuv,20,2028,1,CE-Proto,RegMahaProxy-TC,auc,0.6171760000000001,0.782676,0.16549999999999998
open+speedboat->uuv,20,2028,2,CE-Proto,RegMahaProxy-TC,auc,0.620996,0.8529399999999999,0.23194399999999993
open+speedboat->uuv,20,2028,3,CE-Proto,RegMahaProxy-TC,auc,0.5473279999999999,0.7668079999999999,0.21948
open+speedboat->uuv,20,2028,4,CE-Proto,RegMahaProxy-TC,auc,0.6973720000000001,0.834412,0.13703999999999994
open+speedboat->uuv,20,2028,5,CE-Proto,RegMahaProxy-TC,auc,0.6508240000000001,0.8293919999999999,0.17856799999999984
open+speedboat->uuv,20,2028,6,CE-Proto,RegMahaProxy-TC,auc,0.609,0.784072,0.175072
open+speedboat->uuv,20,2028,7,CE-Proto,RegMahaProxy-TC,auc,0.632332,0.852184,0.21985200000000005
open+speedboat->uuv,20,2028,8,CE-Proto,RegMahaProxy-TC,auc,0.609484,0.851076,0.24159200000000003
open+speedboat->uuv,20,2028,9,CE-Proto,RegMahaProxy-TC,auc,0.6090679999999999,0.858012,0.24894400000000005
open+speedboat->uuv,50,2028,0,CE-Proto,RegMahaProxy-TC,auc,0.661152,0.84156,0.180408
open+speedboat->uuv,50,2028,1,CE-Proto,RegMahaProxy-TC,auc,0.6293360000000001,0.8507120000000001,0.22137600000000002
open+speedboat->uuv,50,2028,2,CE-Proto,RegMahaProxy-TC,auc,0.639216,0.8593080000000001,0.22009200000000007
open+speedboat->uuv,50,2028,3,CE-Proto,RegMahaProxy-TC,auc,0.6383559999999999,0.841136,0.20278000000000007
open+speedboat->uuv,50,2028,4,CE-Proto,RegMahaProxy-TC,auc,0.636608,0.878914,0.24230600000000002
open+speedboat->uuv,50,2028,5,CE-Proto,RegMahaProxy-TC,auc,0.7433,0.8843799999999999,0.14107999999999998
open+speedboat->uuv,50,2028,6,CE-Proto,RegMahaProxy-TC,auc,0.626316,0.846576,0.22026
open+speedboat->uuv,50,2028,7,CE-Proto,RegMahaProxy-TC,auc,0.610352,0.855796,0.245444
open+speedboat->uuv,50,2028,8,CE-Proto,RegMahaProxy-TC,auc,0.64688,0.843772,0.19689199999999996
open+speedboat->uuv,50,2028,9,CE-Proto,RegMahaProxy-TC,auc,0.73492,0.8699479999999999,0.13502799999999993
open+uuv->speedboat,5,2026,0,CE-Proto,RegMahaProxy-TC,auc,0.515722,0.515424,-0.00029800000000002047
open+uuv->speedboat,5,2026,1,CE-Proto,RegMahaProxy-TC,auc,0.5554520000000001,0.5694359999999999,0.013983999999999885
open+uuv->speedboat,5,2026,2,CE-Proto,RegMahaProxy-TC,auc,0.455776,0.446212,-0.009564000000000017
open+uuv->speedboat,5,2026,3,CE-Proto,RegMahaProxy-TC,auc,0.5898899999999999,0.615484,0.025594000000000117
open+uuv->speedboat,5,2026,4,CE-Proto,RegMahaProxy-TC,auc,0.590676,0.564508,-0.02616799999999997
open+uuv->speedboat,5,2026,5,CE-Proto,RegMahaProxy-TC,auc,0.60262,0.572744,-0.029876000000000014
open+uuv->speedboat,5,2026,6,CE-Proto,RegMahaProxy-TC,auc,0.49340800000000007,0.481012,-0.012396000000000074
open+uuv->speedboat,5,2026,7,CE-Proto,RegMahaProxy-TC,auc,0.5455279999999999,0.5305759999999999,-0.014951999999999965
open+uuv->speedboat,5,2026,8,CE-Proto,RegMahaProxy-TC,auc,0.43188000000000004,0.542076,0.11019599999999996
open+uuv->speedboat,5,2026,9,CE-Proto,RegMahaProxy-TC,auc,0.5698080000000001,0.602124,0.0323159999999999
open+uuv->speedboat,10,2026,0,CE-Proto,RegMahaProxy-TC,auc,0.556424,0.628916,0.072492
open+uuv->speedboat,10,2026,1,CE-Proto,RegMahaProxy-TC,auc,0.46453599999999995,0.549988,0.08545200000000008
open+uuv->speedboat,10,2026,2,CE-Proto,RegMahaProxy-TC,auc,0.44498,0.578372,0.133392
open+uuv->speedboat,10,2026,3,CE-Proto,RegMahaProxy-TC,auc,0.5469120000000001,0.641394,0.09448199999999995
open+uuv->speedboat,10,2026,4,CE-Proto,RegMahaProxy-TC,auc,0.546152,0.597496,0.051344000000000056
open+uuv->speedboat,10,2026,5,CE-Proto,RegMahaProxy-TC,auc,0.5348999999999999,0.59304,0.05814000000000008
open+uuv->speedboat,10,2026,6,CE-Proto,RegMahaProxy-TC,auc,0.589842,0.6047440000000001,0.014902000000000082
open+uuv->speedboat,10,2026,7,CE-Proto,RegMahaProxy-TC,auc,0.5310480000000001,0.5911919999999999,0.060143999999999864
open+uuv->speedboat,10,2026,8,CE-Proto,RegMahaProxy-TC,auc,0.5658099999999999,0.607216,0.041406000000000054
open+uuv->speedboat,10,2026,9,CE-Proto,RegMahaProxy-TC,auc,0.5340659999999999,0.6689,0.13483400000000012
open+uuv->speedboat,20,2026,0,CE-Proto,RegMahaProxy-TC,auc,0.46685800000000005,0.651548,0.18468999999999997
open+uuv->speedboat,20,2026,1,CE-Proto,RegMahaProxy-TC,auc,0.575676,0.649592,0.07391599999999998
open+uuv->speedboat,20,2026,2,CE-Proto,RegMahaProxy-TC,auc,0.5686720000000001,0.6235280000000001,0.054856000000000016
open+uuv->speedboat,20,2026,3,CE-Proto,RegMahaProxy-TC,auc,0.41323,0.57386,0.16063000000000005
open+uuv->speedboat,20,2026,4,CE-Proto,RegMahaProxy-TC,auc,0.585012,0.5594399999999999,-0.02557200000000004
open+uuv->speedboat,20,2026,5,CE-Proto,RegMahaProxy-TC,auc,0.585548,0.604336,0.018788000000000027
open+uuv->speedboat,20,2026,6,CE-Proto,RegMahaProxy-TC,auc,0.573294,0.691788,0.11849399999999999
open+uuv->speedboat,20,2026,7,CE-Proto,RegMahaProxy-TC,auc,0.527442,0.6427399999999999,0.1152979999999999
open+uuv->speedboat,20,2026,8,CE-Proto,RegMahaProxy-TC,auc,0.53952,0.661268,0.12174799999999997
open+uuv->speedboat,20,2026,9,CE-Proto,RegMahaProxy-TC,auc,0.579452,0.649852,0.07040000000000002
open+uuv->speedboat,50,2026,0,CE-Proto,RegMahaProxy-TC,auc,0.564024,0.682712,0.11868800000000002
open+uuv->speedboat,50,2026,1,CE-Proto,RegMahaProxy-TC,auc,0.5476080000000001,0.6847319999999999,0.1371239999999998
open+uuv->speedboat,50,2026,2,CE-Proto,RegMahaProxy-TC,auc,0.558764,0.656952,0.09818799999999994
