k_shot,baseline,metric,mean,std,count,median
5,CE-LinearHead,auc,0.0007666666666666544,0.031108779593857567,60,0.0020699999999999608
5,CE-LinearHead,f1,0.04465581515103025,0.04955243387231763,60,0.04211138206285242
5,CE-LinearHead,pd_at_pfa_0.01,-0.004800000000000002,0.05418762132705906,60,0.0
5,CE-LinearHead,pd_at_pfa_0.05,-0.009033333333333334,0.05831822887579013,60,0.003999999999999997
5,CE-Proto,auc,0.05829806666666667,0.08746021082423257,60,0.03041999999999992
5,CE-Proto,f1,0.09424608242622114,0.09668446219361324,60,0.07301484224243893
5,CE-Proto,pd_at_pfa_0.01,0.026833333333333338,0.10318276801781974,60,0.009999999999999998
5,CE-Proto,pd_at_pfa_0.05,0.06253333333333336,0.13308280417980975,60,0.034999999999999996
5,CosMetricHead,auc,0.0027785000000000015,0.03320026532388365,60,0.005981999999999987
5,CosMetricHead,f1,0.047675704779920176,0.055861762840350826,60,0.04052370655470283
5,CosMetricHead,pd_at_pfa_0.01,0.011766666666666663,0.0900185228898855,60,0.002000000000000001
5,CosMetricHead,pd_at_pfa_0.05,0.013733333333333339,0.09641820396842693,60,0.006999999999999999
10,CE-LinearHead,auc,0.009946233333333344,0.04524923419086655,60,0.0067230000000000345
10,CE-LinearHead,f1,0.034718007984681006,0.04696343822529234,60,0.0322302105001967
10,CE-LinearHead,pd_at_pfa_0.01,-0.03166666666666666,0.06559058083128481,60,-0.010000000000000005
10,CE-LinearHead,pd_at_pfa_0.05,-0.012499999999999999,0.08153745110195307,60,-0.0019999999999999914
10,CE-Proto,auc,0.1025234,0.09143376778686142,60,0.09806899999999996
10,CE-Proto,f1,0.10659259684807972,0.07666456783559715,60,0.09522441134195742
10,CE-Proto,pd_at_pfa_0.01,0.0361,0.09042980234713761,60,0.025
10,CE-Proto,pd_at_pfa_0.05,0.09683333333333333,0.12660109066746658,60,0.079
10,CosMetricHead,auc,0.0185449,0.04711399616354257,60,0.01747399999999999
10,CosMetricHead,f1,0.047518022703297386,0.06434314356666002,60,0.044646657509992416
10,CosMetricHead,pd_at_pfa_0.01,0.002499999999999996,0.07073332587847475,60,0.005000000000000003
10,CosMetricHead,pd_at_pfa_0.05,0.009366666666666667,0.0974359357830616,60,0.016
20,CE-LinearHead,auc,0.028622233333333302,0.03365750298822328,60,0.021912000000000043
20,CE-LinearHead,f1,-0.0009953937085280676,0.05753666414529798,60,0.0066661506404515625
20,CE-LinearHead,pd_at_pfa_0.01,1.7636355339097538e-18,0.06419145093298137,60,0.009999999999999998
20,CE-LinearHead,pd_at_pfa_0.05,0.019866666666666675,0.06147438950466894,60,0.023000000000000007
20,CE-Proto,auc,0.14005063333333337,0.08180843649544571,60,0.1338979999999999
20,CE-Proto,f1,0.08755247549268351,0.10729908907512473,60,0.10321157757141425
20,CE-Proto,pd_at_pfa_0.01,0.10529999999999994,0.10265216898151824,60,0.068
20,CE-Proto,pd_at_pfa_0.05,0.18796666666666664,0.13777382185560713,60,0.133
20,CosMetricHead,auc,0.03302703333333332,0.03109771593659968,60,0.03593800000000008
20,CosMetricHead,f1,0.016943436896919618,0.07353396919156613,60,0.027676828121202868
20,CosMetricHead,pd_at_pfa_0.01,0.0371,0.07693133632320821,60,0.020999999999999998
20,CosMetricHead,pd_at_pfa_0.05,0.05446666666666667,0.08111792350722678,60,0.05200000000000002
50,CE-LinearHead,auc,0.04779456666666668,0.032254159226404594,60,0.04411400000000004
50,CE-LinearHead,f1,-0.0491645912546741,0.09065653576535619,60,-0.028651514485650453
50,CE-LinearHead,pd_at_pfa_0.01,0.03146666666666668,0.06259026476168521,60,0.03
50,CE-LinearHead,pd_at_pfa_0.05,0.06179999999999999,0.046507444273807985,60,0.064
50,CE-Proto,auc,0.1737901666666666,0.0753529391014444,60,0.17722399999999994
50,CE-Proto,f1,0.05520419007971893,0.14081125772218372,60,0.06751013890046736
50,CE-Proto,pd_at_pfa_0.01,0.17506666666666665,0.148618709804502,60,0.131
50,CE-Proto,pd_at_pfa_0.05,0.2523,0.17132022746594466,60,0.265
50,CosMetricHead,auc,0.03792603333333334,0.02621951645597816,60,0.03511799999999998
50,CosMetricHead,f1,-0.04582170931177118,0.0826944075115959,60,-0.030812252052936306
50,CosMetricHead,pd_at_pfa_0.01,0.08006666666666665,0.09865190758447855,60,0.05099999999999999
50,CosMetricHead,pd_at_pfa_0.05,0.08679999999999995,0.08094124255138853,60,0.07999999999999999
