method,acc_mean,acc_std,acc_count,f1_mean,f1_std,f1_count,auc_mean,auc_std,auc_count,pd_at_pfa_0.05_mean,pd_at_pfa_0.05_std,pd_at_pfa_0.05_count,pd_at_pfa_0.01_mean,pd_at_pfa_0.01_std,pd_at_pfa_0.01_count,pd_tc_mean,pd_tc_std,pd_tc_count,pfa_tc_mean,pfa_tc_std,pfa_tc_count
CE-LinearHead,0.6005536903978552,0.10953962365130612,54,0.5396271308588975,0.1599656522257713,54,0.5950795183221461,0.15695842459955003,54,0.14891010474212393,0.1794332551564393,54,0.0716473474117951,0.14390918032220323,54,,,0,,,0
CE-Proto,0.5462529171429925,0.11396460389859857,54,0.511813145534167,0.15061400142915704,54,0.5691631141122143,0.17143772522541434,54,0.12901588811333464,0.1694909698099399,54,0.05340929275141445,0.11105653461083498,54,,,0,,,0
CosMetricHead,0.608887946924178,0.1206103859257337,54,0.5485915890186294,0.15772896957798377,54,0.6424782672538575,0.1394348477670646,54,0.15229598038323816,0.16630435957443263,54,0.07200633753427478,0.14127931291655876,54,,,0,,,0
RegMahaProxy-TC,0.6019260977687926,0.10925098299839411,54,0.5338000625504112,0.1602626171248201,54,0.632958584382536,0.1495125973361389,54,0.16425235032838237,0.17858169264991405,54,0.07968386426693377,0.14319526934149995,54,0.5531801373406496,0.23927457989620138,54,0.36629629629629623,0.20809575552160506,54
