task,k_shot,seed,repeat,feature_mode,src_tail_weight,group_disjoint,support_groups,query_groups,method,acc,f1,auc,pd_at_pfa_0.05,pd_at_pfa_0.01,pd_tc,pfa_tc,threshold_tc
open+speedboat->uuv,5,2026,0,logmel,0.0,True,10,73,CE-Proto,0.5833333333333334,0.6044303797468354,0.6345555555555555,0.1,0.016666666666666666,,,
open+speedboat->uuv,5,2026,0,logmel,0.0,True,10,73,CE-LinearHead,0.625,0.6256239600665557,0.6362111111111111,0.13,0.09333333333333334,,,
open+speedboat->uuv,5,2026,0,logmel,0.0,True,10,73,CosMetricHead,0.6366666666666667,0.6366666666666667,0.7119444444444445,0.32,0.20333333333333334,,,
open+speedboat->uuv,5,2026,0,logmel,0.0,True,10,73,RegMahaProxy-TC,0.565,0.6039453717754173,0.639288888888889,0.21333333333333335,0.11666666666666667,0.6633333333333333,0.5333333333333333,0.23384323120117145
open+speedboat->uuv,5,2026,1,logmel,0.0,True,10,72,CE-Proto,0.5683333333333334,0.5632377740303541,0.5157555555555555,0.12666666666666668,0.04666666666666667,,,
open+speedboat->uuv,5,2026,1,logmel,0.0,True,10,72,CE-LinearHead,0.6233333333333333,0.5845588235294118,0.5368999999999999,0.17,0.06,,,
open+speedboat->uuv,5,2026,1,logmel,0.0,True,10,72,CosMetricHead,0.6033333333333334,0.575,0.6399222222222222,0.12666666666666668,0.09666666666666666,,,
open+speedboat->uuv,5,2026,1,logmel,0.0,True,10,72,RegMahaProxy-TC,0.5116666666666667,0.556732223903177,0.5394,0.16666666666666666,0.06333333333333334,0.6133333333333333,0.59,-3.1458168029785156
open+speedboat->uuv,5,2026,2,logmel,0.0,True,10,74,CE-Proto,0.6483333333333333,0.6687598116169545,0.6885000000000001,0.12,0.0033333333333333335,,,
open+speedboat->uuv,5,2026,2,logmel,0.0,True,10,74,CE-LinearHead,0.6616666666666666,0.6133333333333333,0.6713555555555555,0.28,0.17333333333333334,,,
open+speedboat->uuv,5,2026,2,logmel,0.0,True,10,74,CosMetricHead,0.66,0.6458333333333334,0.7571444444444444,0.27666666666666667,0.25333333333333335,,,
