task,k_shot,method,baseline,n,acc_delta_mean,acc_delta_positive_ratio,f1_delta_mean,f1_delta_positive_ratio,auc_delta_mean,auc_delta_positive_ratio,pd_at_pfa_0.05_delta_mean,pd_at_pfa_0.05_delta_positive_ratio,pd_at_pfa_0.01_delta_mean,pd_at_pfa_0.01_delta_positive_ratio,pd_tc_delta_mean,pd_tc_delta_positive_ratio,pfa_tc_delta_mean,pfa_tc_delta_positive_ratio,threshold_tc_delta_mean,threshold_tc_delta_positive_ratio
open+speedboat->uuv,5,LinEqProxy-Tail,CE-Proto,30,0.05559999999999999,0.7,0.027030671160152175,0.5666666666666667,0.0337334,0.5666666666666667,0.07506666666666668,0.6666666666666666,0.03273333333333332,0.6333333333333333,,,,,,
open+speedboat->uuv,10,LinEqProxy-Tail,CE-Proto,30,0.10276666666666666,0.9333333333333333,0.07174082810615638,0.8,0.08765053333333332,0.8,0.1686,0.8666666666666667,0.08966666666666666,0.6666666666666666,,,,,,
open+speedboat->uuv,20,LinEqProxy-Tail,CE-Proto,30,0.1266,0.9333333333333333,0.0989401005526695,0.9333333333333333,0.11240833333333332,0.9333333333333333,0.16740000000000002,0.9666666666666667,0.06193333333333333,0.7333333333333333,,,,,,
open+speedboat->uuv,50,LinEqProxy-Tail,CE-Proto,30,0.14313333333333336,1.0,0.12025913828137776,1.0,0.15562046666666668,1.0,0.2501333333333334,1.0,0.11953333333333332,0.7666666666666667,,,,,,
open+uuv->speedboat,5,LinEqProxy-Tail,CE-Proto,30,0.05996666666666665,0.8666666666666667,0.07772050628588553,0.8666666666666667,0.06062093333333334,0.7666666666666667,0.015933333333333334,0.6,0.005333333333333333,0.5,,,,,,
open+uuv->speedboat,10,LinEqProxy-Tail,CE-Proto,30,0.07413333333333334,0.9,0.07774782019241457,0.8666666666666667,0.0881578666666667,0.9,0.03780000000000001,0.7333333333333333,0.01326666666666667,0.8,,,,,,
open+uuv->speedboat,20,LinEqProxy-Tail,CE-Proto,30,0.09559999999999998,1.0,0.08795866462114703,0.9333333333333333,0.11632846666666662,1.0,0.05346666666666667,0.7666666666666667,0.019533333333333337,0.7333333333333333,,,,,,
open+uuv->speedboat,50,LinEqProxy-Tail,CE-Proto,30,0.10499999999999998,0.9666666666666667,0.06949202971901401,0.9,0.14443373333333334,0.9666666666666667,0.07693333333333334,0.8666666666666667,0.03873333333333335,0.8333333333333334,,,,,,
open+speedboat->uuv,5,LinEqProxy-Tail-TC,CE-Proto,30,-0.0003333333333333392,0.4,0.050468534142016706,0.6333333333333333,0.0337334,0.5666666666666667,0.07506666666666668,0.6666666666666666,0.03273333333333332,0.6333333333333333,,,,,,
open+speedboat->uuv,10,LinEqProxy-Tail-TC,CE-Proto,30,0.07893333333333333,0.8,0.07814398313794782,0.8666666666666667,0.08765053333333332,0.8,0.1686,0.8666666666666667,0.08966666666666666,0.6666666666666666,,,,,,
open+speedboat->uuv,20,LinEqProxy-Tail-TC,CE-Proto,30,0.12713333333333335,0.9666666666666667,0.10500960426687299,0.9666666666666667,0.11240833333333332,0.9333333333333333,0.16740000000000002,0.9666666666666667,0.06193333333333333,0.7333333333333333,,,,,,
open+speedboat->uuv,50,LinEqProxy-Tail-TC,CE-Proto,30,0.13206666666666667,0.9333333333333333,0.09347910053923433,0.8666666666666667,0.15562046666666668,1.0,0.2501333333333334,1.0,0.11953333333333332,0.7666666666666667,,,,,,
open+uuv->speedboat,5,LinEqProxy-Tail-TC,CE-Proto,30,0.059533333333333334,0.9333333333333333,0.1334292303778692,1.0,0.06062093333333334,0.7666666666666667,0.015933333333333334,0.6,0.005333333333333333,0.5,,,,,,
open+uuv->speedboat,10,LinEqProxy-Tail-TC,CE-Proto,30,0.06966666666666667,0.8666666666666667,0.07498971015571151,0.9,0.0881578666666667,0.9,0.03780000000000001,0.7333333333333333,0.01326666666666667,0.8,,,,,,
open+uuv->speedboat,20,LinEqProxy-Tail-TC,CE-Proto,30,0.09016666666666664,1.0,0.026865005289374622,0.6666666666666666,0.11632846666666662,1.0,0.05346666666666667,0.7666666666666667,0.019533333333333337,0.7333333333333333,,,,,,
open+uuv->speedboat,50,LinEqProxy-Tail-TC,CE-Proto,30,0.09976666666666664,0.9666666666666667,0.0047213495448387805,0.6,0.14443373333333334,0.9666666666666667,0.07693333333333334,0.8666666666666667,0.03873333333333335,0.8333333333333334,,,,,,
open+speedboat->uuv,5,NormAwareCalibCosMetricHead,CE-Proto,30,0.06549999999999999,0.8333333333333334,0.07357273939601292,0.8333333333333334,0.06104800000000002,0.7333333333333333,-0.048,0.4,-0.05,0.26666666666666666,,,,,,
open+speedboat->uuv,10,NormAwareCalibCosMetricHead,CE-Proto,30,0.11036666666666667,0.9,0.09937034764067051,0.9333333333333333,0.10717366666666664,0.8,0.06966666666666664,0.6666666666666666,0.0004000000000000022,0.5,,,,,,
open+speedboat->uuv,20,NormAwareCalibCosMetricHead,CE-Proto,30,0.14156666666666665,1.0,0.13277224591501524,1.0,0.12672093333333337,0.9666666666666667,0.09480000000000001,0.7666666666666667,0.005466666666666659,0.5666666666666667,,,,,,
open+speedboat->uuv,50,NormAwareCalibCosMetricHead,CE-Proto,30,0.14873333333333333,1.0,0.14602986670566803,1.0,0.16107653333333335,1.0,0.21259999999999998,1.0,0.08886666666666666,0.7666666666666667,,,,,,
open+uuv->speedboat,5,NormAwareCalibCosMetricHead,CE-Proto,30,0.048899999999999985,0.8333333333333334,0.05503153117043792,0.7,0.04966993333333335,0.7666666666666667,0.0296,0.7333333333333333,0.005266666666666669,0.6333333333333333,,,,,,
open+uuv->speedboat,10,NormAwareCalibCosMetricHead,CE-Proto,30,0.06816666666666667,0.9,0.0647239285194939,0.9,0.08165166666666668,0.9666666666666667,0.03833333333333334,0.7666666666666667,0.0094,0.5666666666666667,,,,,,
open+uuv->speedboat,20,NormAwareCalibCosMetricHead,CE-Proto,30,0.08843333333333332,0.9666666666666667,0.07246044054471693,0.8666666666666667,0.09795613333333332,1.0,0.038,0.7,0.010466666666666664,0.6,,,,,,
